"TIME.24.HOURS","BASE.SUB.BASE","COUNTY","ROAD","PLACE","BRIEF.ACCIDENT.DETAILS","GENDER","AGE","CAUSE.CODE","VICTIM","NO.","Date.DD.MM.YYYY","X","latitude","longitude"
"1945","GARISSA","GARISSA","GARISSA MWINGI","FRONTIER JUNCTION","THE CYCLE LOST CONTROL AND THE VICTIM FELL DOWN","M","32",21,"M/CYCLIST",1,"4/10/2016","",39.0928527,-108.5968838
"530","EMBAKASI","NAIROBI","EASTERN BY PASS","UTAWALA VILLAGE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PEDESTRIAN",1,"4/9/2016","",-6.767076,39.2040756
"1500","INDO AREA","NAIROBI","MOMBASA ROAD","NEAR VISION PLAZA","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PEDESTRIAN",1,"4/9/2016","",41.90297515,-87.6228780273209
"2000","KISUMU","KISUMU","KISUMU NAIROBI","WELLS PETROL STATION","THE VEHICLE KNOCKED DOWN THE VICTIM","F","26",68,"PEDESTRIAN",1,"4/9/2016","",51.203526,-2.646914
"2230","EMBAKASI","NAIROBI","MOMBASA ROAD","NEAR AIRPORT JUNCTION","HIT AND RUN","M","32",7,"PEDESTRIAN",1,"4/9/2016","",7.1433611,79.8695683
"1800","KISII","KISII","KISII MARANI","KEGOGI AREA","HEAD ON COLLISION","M","A",98,"P/PASSENGER",1,"4/9/2016","",-1.3132387,36.7758483
"1430","BUSIA","BUSIA","KISUMU BUSIA","MULEMBE","THE CYCLE WAS HIT FROM THE REAR BY THE VEHICLE","M","31",19,"M/CYCLIST",1,"4/8/2016","",0.869472,34.4268629
"1600","CHANGAMWE","MOMBASA","AIRPORT","APOLO","THE VEHICLE KNOCKED DOWN THE VICTIM","M","35",16,"PEDESTRIAN",1,"4/8/2016","",-14.7153938,-68.4176615
"2205","NANYUKI","","KINAMBA","NGARUA","THE VEHICLE OVERTURNED KILLING 6 VICTIMS","4F & INF","A",26,"PASSENGER",6,"4/8/2016","",-0.3376971,35.6115956
"2025","KITUI","KITUI","KITUI MACHAKOS","KALANDINI","THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND ROLLED SEVERAL TIMES","M","8",26,"PASSENGER",1,"4/8/2016","",-0.1706901,34.3684954
"2100","NAIVASHA","NAKURU","KENYATTA","GUEST INN BAR","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PEDESTRIAN",1,"4/8/2016","",33.9546193,-84.2321206
"1800","GIGIRI","NAIROBI","FOREST LIMURU","INTERCHANGE","THE CYCLE WAS HIT FROM THE REAR BY THE VEHICLE","M","30",7,"M/CYCLIST",1,"4/8/2016","",52.9798189,-0.0213466
"1","STAREHE","NAIROBI","EATLEIGH","FIRST AVENUE","HIT AND RUN","M","30",98,"PEDESTRIAN",1,"4/8/2016","",44.97826065,-93.276029506387
"2330","MWIGA","NYERI","NYERI NYAHURURU","SOLIO RANCH","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",61,"PEDESTRIAN",1,"4/8/2016","",-0.2497739,36.8755378
"1200","BURETI","KERICHO","KERICHO","CHEMOSIT","THE CYCLE KNOCKED DOWN THE VICTIM","M","9",29,"PEDESTRIAN",1,"4/7/2016","",-0.5396386,35.9962622
"730","KEIYO","MARAKWET","ITEN KABARNET","KERIO KABARNET","THE VEHICLE KNOCKED DOWN THE VICTIM","M","12",7,"PEDESTRIAN",1,"4/5/2016","",0.496732,35.7393072
"45","CENTRAL","NAIROBI","HAILE SELASIE","TECHNICAL UNIVERSITY","HIT AND RUN","M","21",7,"PEDESTRIAN",1,"4/3/2016","",41.7203488,44.7766431
"240","KAYOLE","NAIROBI","KANGUNDO ROAD","NEAR CALTEX","THE LORRY RAMMED INTO THE REAR P/UP","M","A",29,"DRIVER",1,"4/2/2016","",-41.2940705,173.2675466
"715","RUIRU","KIAMBU","THIKA SUPERHIGHWAY","KU DRIFT","THE CANTER RAMMED INTO THE REAR SALOON CAR","M","23",29,"DRIVER",1,"4/2/2016","",-37.8973093,144.7255342
"1830","THIKA","KIAMBU","THIKA NAIROBI","BLUE POST","THE VEHICLE KNOCKED DOWN THE P/CYCLIST","M","54",52,"P/CYCLIST",1,"4/2/2016","",38.5897674,-122.4240613
"2030","KIAMBU","KIAMBU","NDUMBERI KANNGA","KARATINA","THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD","F","10",11,"PEDESTRIAN",1,"4/2/2016","",-0.482246,37.125224
"700","CHANGAMWE","MOMBASA","MOMBASA NAIROBI","BANGLADESH","HEAD ON COLLISION","M","24",11,"DRIVER",1,"4/1/2016","",-0.2864982,36.0514231
